0,1,2,3,4,5,6,7,8
AE,Abu Dhabi University,http://www.adu.ac.ae/,ChIJDVVVRXVHXj4RGf0LjSI-zlw,24.365309,54.562999,Zayed City - Abu Dhabi - United Arab Emirates,CmRaAAAAfh_f05lmZy03OSvr-XeLqYtt9_xt6Nq4P15fXH1udvBsvIFmomEyYZOmA69tQ-hu4xNN2tTHI34PDvJUBQ_Cglny_PUbacYLQAoOAw2Yjsb_dgOG-otYuMW66xSPRnchEhAi3Bho5qzfblgj92edziOPGhSWBU2bolNwj4hdTnvJHpYirLOecg,"<a href=""https://maps.google.com/maps/contrib/110579862917714782955"">Momen Attia</a>"
AE,American University in the Emirates,http://www.aue.ae/,ChIJS0TT9I5jXz4RIg5saP-fTK0,25.1233303,55.4107049,Dubai International Academic City  Block 6 & 7 - Academic City - Dubai - United Arab Emirates,CmRaAAAAukY-fcRxdcgQpOtTW6QuAOePD5hSUxNApl_HlSWPYiDqMV4BH55nuYwtebG02rpaRhnDFvvIHFB6qBJelJyucRxlsfMcXtcFl0hkdirc67-QK2Xa3YzcTON4cgf62G8rEhCmJV5FwpO5zIGgekW-hlxVGhQPI2vEWXJ18GTCU7mCU9N-J55kCw,"<a href=""https://maps.google.com/maps/contrib/103179415545704098107"">Dean Jose</a>"
AE,Higher Colleges of Technology,http://www.hct.ac.ae/,ChIJ680p8OL-kT4RIlEOsKQ0uV4,23.580301,58.432846,133 Al Khuwayral Al Janubyyah St  Muscat  Oman,CmRaAAAA7ljbPwkeEnYDni-_CRKeAvtiHZubK4RgMbtMX15eb3SGLEVtxbGxdY8UgKl5JZB5v3J3xk2Nx4A6Y6XUnvFwAjRMqIFjEu3hk-iKMile1HY8lmyIRu8zU8FhRMx0t564EhB3_clT0PQpV0p2IpuP1NLAGhRzJBkuhip_FDfSvHtwx6sLEQu4yQ,"<a href=""https://maps.google.com/maps/contrib/114835276715030915381"">Higher College of Technology</a>"
AE,Rak Medical & Health Sciences University,http://www.rakmhsu.com/,ChIJRxa3-gZXz0cRPz0RrK-Tk9w,52.6539096,4.7487891,Schoenmakerstraat 128  1825 CJ Alkmaar  Netherlands,CmRaAAAAd0Ehj9MbJ5R9Of7bQd2Pp-miS5XbIJvhQbVgLEKpMfjS7GwImrM4zhJu73wpbwGQrnDq0F3ZVQ9j8qDCt1o0x2Bb9uZCCS9lofMHRgL6XJfkyJV0mzprQwBlySG6Ohz2EhBEVZNUcnPdYeik338A6eg0GhQtNNHQkKOyXAD6IGCZBPyDJl_-ng,"<a href=""https://maps.google.com/maps/contrib/102066966056474223353"">Rugkliniek Alkmaar</a>"
AE,University of Jazeera,http://www.uojazeera.com/,ChIJCaQhZuZdXz4RI1k5W0pw7zM,25.2440368,55.3932154,Al Twar 3 Near Dubai International Airport - Al TwarAl Twar 3 - Dubai - United Arab Emirates,CmRaAAAA19eIST9Ny5WafS5JCaW3IHxJK2jX3l4f167SN5EvErVSyCO6LEjAT4sU6jB1wur_LfTsHnUmIJijvrdkJ552fdC-_bam1Ntj1hkJubzz6raMUtsTh9sLa5PIIViQWp7XEhDV4bUKm4CkBhjB7eZ3Jh-AGhQ3a_o3X4bZkpYHVbCkeC3Te2o6iw,"<a href=""https://maps.google.com/maps/contrib/109580268485223427467"">Rashed Al Hebsi</a>"
AF,Badakhshan University,http://www.badakhshan.edu.af/,ChIJy-nlqvgDxjgRug79YDolq5M,37.1040304,70.52670789999999,Dasht Qurogh  DIST6  فیض آباد، Afghanistan,CmRaAAAAD0d9qdEHPnXXdrgE9kMAxcFWIUMAzHsXdJNJV1TpLLPRsd_QnSONlIQ0EnUyRlJY7J11ARD5q4YFi7n7ptlfpyYjnrK3pLD5c2e5pPHUkoXbVVe99lqYDRcu8nDCHt_pEhD3mXoTDa0H9-LoGTAIcNx7GhQmSKDNjZgkHa2aCKZzqjnKH3pJLA,"<a href=""https://maps.google.com/maps/contrib/108392046626279962501"">Naweedullah Nadrat</a>"
AF,Faryab Higher Education Institute,http://www.faryab.edu.af/,,,,,,
AF,Kabul Medical University,http://www.kmu.edu.af/,ChIJYayzAzJv0TgRXj1grlUWrpU,34.519347,69.1329308,Ata Turk Avenue  Kabol  Afghanistan,CmRaAAAA-DYDBZgEp6K2JaJdbaDtEAZCj4TYGfZumuaQKJg3uTgTEmjNIjRFrIe5D7VN5hgrOGzSxP2ncphhkc5_tyHMp5MqFlh9QffxTRnVWoC7MrhdzZcU4FMtgat4Ufs_LzAFEhC-twPwz-gyjfI4x65nlLcOGhRlJukRmu4q0jxhyuPtRU40LlC93Q,"<a href=""https://maps.google.com/maps/contrib/114953177434156676787"">Khaliqdad Mohammadi</a>"
AF,Maryam Institute of Higher Education,http://www.maryam.edu.af/,,,,,,
AF,Sadat Institute of Higher Education,http://www.sadat.edu.af/,,,,,,
AL,Academy of Sports and Physical Training,http://www.aefs.edu.al/,ChIJFWLevOMIxkcRVALRADFpyCQ,52.38968999999999,4.942607000000001,Nieuwendammerdijk 308  1023 BT Amsterdam  Netherlands,CmRaAAAAUFiKRapxnaXuS1NnCchbwRbs3fiDmvrsYGqh8fTJEShen4FqOrb6ovtWwm5vHs38hvI98RoUwwN4gqpf5RacqgiSw8_fDm68zk0IkJUEgIP9_9OD2gNueWTgpI65ik5lEhDlGelgtrOVu8KZjYEwUM0ZGhQBB-_GezpG8UeLwYoxCqM3CS9Qow,"<a href=""https://maps.google.com/maps/contrib/104015612496829436972"">YOGA ROOTS . amsterdam</a>"
AL,"University of Korca ""Fan Noli""",http://www.unkorce.edu.al/,ChIJg8TgYA0KWhMRbitwnBJp9u4,40.6274667,20.7854247,Bulevardi Rilindasit 11  Korçë  Albania,CmRaAAAAvsg2caUv-2-mjIbVn8zrDXY08UZ-Fc0t3D5yDxhDpy8mhFH7xZNXxPx_Ku4x1hAudSKboGAUKIQnkOE72KwzPwpEDlmR6RvlJtJ4cSayHgyK-DmM9gs9oao3Np6JVMxwEhAyeQ9HVNyl5gqcqeXRAjpmGhRhJsUELT5UkwC_gzZtpiWcUOyiag,"<a href=""https://maps.google.com/maps/contrib/103950342344375229454"">Geri. Mi</a>"
AM,Armenian State University of Economics,http://www.asue.am/,ChIJ-4kkVua8akAR3ycG4zrFbos,40.1842484,44.52473519999999,128 Nalbandyan St  Yerevan 0025  Armenia,CmRaAAAAyhF2idDK7X3XrxMctxCF26bt_PoEIuFW5VLIPs_SyweOs91JRKyMFPcOZZFBUOMFb35XEHtSEI_JnaSZE0cRRMpsBejkTo6WcuXM-f2Famm8qOp0PTHhrb-H_ZZySQi3EhB7ilTb7IbeERPVD-iIk_JaGhQA2BBZKOXd8j1Wf0aSvPmNbGbNpA,"<a href=""https://maps.google.com/maps/contrib/114083671002399257582"">Batyr Jeparov</a>"
AM,Yerevan State Medical University,http://www.ysmu.am/,ChIJcY9pb968akAR-CpiqJnesH4,40.1876424,44.5253454,2 Koryun St  Yerevan 0025  Armenia,CmRaAAAAJyD4MgkOHg2iTvifsTD3pYjPqtUTFRoXojs4ryCn7geGi7xJeE-xXXCeLwWEFp2yDYJ0YfmX0rtLI3mORD6CL-H5zYXuSXHuDUYcKUiwgmnv6zpsKHK2KMI5RyZpahZyEhAnx62s1X40DhLGlTQC4MrfGhS0lo6-aeApH-WEchv6_-0JiuNkrA,"<a href=""https://maps.google.com/maps/contrib/103300775027788269732"">Веселый Роджер</a>"
AO,Universidade Gregorio Semedo,http://www.ugs.ed.ao/,ChIJmYssXeb0URoRy0jnpZzF2KM,-8.8992123,13.2008545,R. da Total  Luanda  Angola,CmRaAAAAvx73bIeHnGSKDGJOvWPaP9gk5lHl-ruxC3XDuw2ZEglpof7_DJOwVYfykf4SHiQ5Ykd9Mt3esuDiJYFPuwZkF5aEZmtEYaar7nKYvUMLTSY5LABhh3DJGJ5ph14WfoOTEhBljxWxRJEfPKhFNo8off5sGhQMRDuPx6BbX9fEZNWEf33RfQsRIg,"<a href=""https://maps.google.com/maps/contrib/115447130270386910531"">INTELLECTUS GCI</a>"
AR,"Instituto Nacional de Educación Física ""General Manuel Belgrano""",http://www.unlu.edu.ar/Belgrano.htm,,,,,,
AR,Universidad Abierta Interamericana,http://www.vaneduc.edu.ar/uai/,ChIJecsFuRKrt5URHxf5LEfFSZs,-34.6219221,-58.37925019999999,Ciudad de Buenos Aires Ciudad Autónoma de Buenos Aires AR  Av. San Juan 951  C1147 AAH  Buenos Aires  Argentina,CmRaAAAAJemXxwYNPXxjmUNRs6dnIRK4eOFYbhmFfm3m3h45QspOY-Vq9xFNMU6h4OFOwYrb2WcP0X-BvuCtjhl5H7RxaaVTQ_rCLcc3jCpXZ2FdWZG5BWeobtSy5g98fvn7QPTlEhCj-7PESSYpFmkhy-YGtezwGhRzJPI8EYuz0ubkr1pDud1x8c6cNA,"<a href=""https://maps.google.com/maps/contrib/100557944728672874370"">Universidad Abierta Interamericana UAI</a>"
AR,"Universidad CAECE, Buenos Aires",http://www.caece.edu.ar/,ChIJb2WzgNLKvJURl_YnbvTbuOs,-34.60902190000001,-58.378698,Av. de Mayo 866  C1038 AAK  Buenos Aires  Argentina,CmRaAAAABfl5kBwvulLSxYXd83N4U0IOGGQXK7xkpu2IUDSRJKJ0f291RMXOXCgLEAgSaYnx0xk2S6lpVzQD9YEAevbUwqNOW9g7EIJaEWQ2lK5DBDEy5xVpZMwQfM7WRK86c_90EhAy85ZkZSLyaOrDFzFDrLd5GhTisVRyQqaFfxApJOatGD_zIcmi0w,"<a href=""https://maps.google.com/maps/contrib/103510284598553106008"">Patricia</a>"
