countryCode,UniversityName,Domain,placeID,Lat,Long,Address,Photoref,PhotoAttrib
AE,Abu Dhabi University,http://www.adu.ac.ae/,ChIJDVVVRXVHXj4RGf0LjSI-zlw,24.365309,54.562999,Zayed City - Abu Dhabi - United Arab Emirates,CmRaAAAAfh_f05lmZy03OSvr-XeLqYtt9_xt6Nq4P15fXH1udvBsvIFmomEyYZOmA69tQ-hu4xNN2tTHI34PDvJUBQ_Cglny_PUbacYLQAoOAw2Yjsb_dgOG-otYuMW66xSPRnchEhAi3Bho5qzfblgj92edziOPGhSWBU2bolNwj4hdTnvJHpYirLOecg,"<a href=""https://maps.google.com/maps/contrib/110579862917714782955"">Momen Attia</a>"
AE,Ajman University of Science & Technology,http://www.ajman.ac.ae/,ChIJVVVVye_39T4RmJoJg0U_tgg,25.4122955,55.5065758,University Street Al jerf 1 - Al Jerf 1 - Ajman - United Arab Emirates,CmRaAAAANCTiLTpbLaqaSeIPa9yIjPlEHbImhOmFdGrxqn1rqI0T_hYRChR93wY7gnwyhRQ4ohy5LAIV7uzXZbMhjfrsASvZMFjZ35QvSnrr7WpriAaqV6lxAyKY2DE6Vm1dzALPEhDkjrFTJAY8etCa4pBWnADAGhSwQg5RIsOXVLmi_1Os9vvfQoTVdw,"<a href=""https://maps.google.com/maps/contrib/106186330533318983258"">Ajman University</a>"
AE,Alain University of Science and Technology,http://www.alainuniversity.ac.ae/,ChIJP-JMVF-xij4RpZ0qIFU9Xak,24.240762,55.740842,Al Jimi  Near Al Ain Municipality  Al Ain - Al Jimi - Abu Dhabi - United Arab Emirates,CmRaAAAAX45UhDPFk_FDtDzXkxu-K4dDYvIxYHtk1bxx5O9j13tUrCCRTfW35bNT0uiR3576W8XRrqNfoUmgdWnbMoelMM-UztrGDkPlXwmiAWFd9PxQAVCrR0iAsJHOSlnUzmbLEhCpF1LGXsb-sF7rOQnmHqWsGhRGNY9_8kC6njDVlxEMZ0-2IzJb6g,"<a href=""https://maps.google.com/maps/contrib/110488993051771216911"">Mohammed Hussain</a>"
AE,Al Ghurair University,http://www.agu.ae/,ChIJ84JenoFjXz4Rz3qTLVBMUcs,25.1105046,55.4069281,Academic City - Dubai - United Arab Emirates,CmRaAAAAyB2djApnAABtNiiJnFNIIeWpEiC3-2dyDIGxdc0xptzpnzYHbr52raKBYOjjZAPOxjNPtnI-OoazZ0Bv5jk9wiGuAooRsJ99u4vr7X2xbiY_BPREBiczhp3mIPX7SLTXEhCFbt8hfpS-gaGXHfJybbNgGhS9w-aLcG2wBPeyZJAlVBZNr0ZNvQ,"<a href=""https://maps.google.com/maps/contrib/114793592994738215020"">حمدان الهنداسي</a>"
AE,Alhosn University,http://www.alhosnu.ae/,ChIJIYeVeJ1oXj4RBcnQRv1KsJ8,24.4601334,54.3769957,Old Airport Road  Delma Street 13  Opp the Sheikh Sultan Stadium  Al Musalla - Al ManhalW15-02 - Abu Dhabi - United Arab Emirates,CmRaAAAACPvmvNrLKO6NIYZVpP8P_nn0VHktcrZnN6gHezBkddrvencaQoioLP1pTo5a3cQ-H5PYZZJIiYruKCEvSq9OfKHUCg5anTZ3lL9wsME6F4lOjWfCjhndQiMvTQrMQ5oiEhARDWYNO3KuZm1gEiqkRceuGhTVwp8vsTo1mcqhX545P4xtjlAnLw,"<a href=""https://maps.google.com/maps/contrib/110488993051771216911"">Mohammed Hussain</a>"
AE,Al Khawarizmi International College,http://www.khawarizmi.com/,ChIJdwscci-yij4RZzQVx_8ZgTM,24.1913703,55.7079118,Falaj Hazzaa  Al Ain - Falaj Hazzaa - Abu Dhabi - United Arab Emirates,CmRaAAAA7vd5we6zmIMJtaVpPePcBOHXkqThNZwUfg9q5IbCJ02rqA9vs_Md9AY8CqPQYaxfN_q4h700ndbLGLBtEvrUVCNAp04NhJ7Jv46GMR0cE5CQgVWtup6Ie1rK5XrVgX26EhDiBMChkTyrozSVItHWNRNbGhSSeqY5LefJFMFylaRSqO-oURMXlA,"<a href=""https://maps.google.com/maps/contrib/100769301268167124362"">Khalid Ahmed</a>"
AE,American College Of Dubai,http://www.acd.ac.ae/,ChIJ_3ORWQ1dXz4R3ee8mPv8HfM,25.2355351,55.3493361,Dubai - Garhoud - Dubai - United Arab Emirates,CmRaAAAA5RCp8E5Y6C0jTA02iVoLErwqfR-Kxbq35bXlJx-7ja4yNVOAY9n1rMhc4OMMj3przj8MsStQ5jhZwDWEIMwMfHQFmcKNHxWUB3A3PkF7MT8P-8GLGRLjZe1n5HpVHW4BEhDMNyXwwoSQjY8lNZErlu8oGhRg760cxXwMRlOueE9ueTODFgeDTA,"<a href=""https://maps.google.com/maps/contrib/105935216814525843670"">The American College Of Dubai</a>"
AE,American University in Dubai,http://www.aud.edu/,ChIJF1Un6FxrXz4RRm2znrwh7d8,25.091209,55.1560728,Sheikh Zayed Rd - Al SufouhDubai Internet City - Dubai - United Arab Emirates,CmRaAAAAj14sQTcObsUZDcvLfyArEaTcCBOWWW5TYToWcVYBzlnUhFPWdDFquNmfyVZWLye2TKhqjMij9KMMmGLGx7Fcw6R1FYzIFfNETmYokc-9UB3JtqvNuPZnYwSP3MXylZiHEhBz3vEYDj4szURFpX09z_qQGhRJ7-RgLXLxhyUnAu_aIm1rsaX6YQ,"<a href=""https://maps.google.com/maps/contrib/116783198689123303492"">American University in Dubai</a>"
AE,American University in the Emirates,http://www.aue.ae/,ChIJS0TT9I5jXz4RIg5saP-fTK0,25.1233303,55.4107049,Dubai International Academic City  Block 6 & 7 - Academic City - Dubai - United Arab Emirates,CmRaAAAAukY-fcRxdcgQpOtTW6QuAOePD5hSUxNApl_HlSWPYiDqMV4BH55nuYwtebG02rpaRhnDFvvIHFB6qBJelJyucRxlsfMcXtcFl0hkdirc67-QK2Xa3YzcTON4cgf62G8rEhCmJV5FwpO5zIGgekW-hlxVGhQPI2vEWXJ18GTCU7mCU9N-J55kCw,"<a href=""https://maps.google.com/maps/contrib/103179415545704098107"">Dean Jose</a>"
AE,American University of Sharjah,http://www.aus.edu/,ChIJKaD3-4n19T4RkB-VBIddIjQ,25.3120502,55.4927023,University City - Sharjah - United Arab Emirates,CmRaAAAAk1cqYh7zXL3I39GdfujX22CKT1SiwdiT8dEbU1xu3WIv01z9o54TkVtoDrkCwSpXcyVCjXaHBhlmRs3xkUVDoVfdoIcGhvrSJsQvKDxNqYDelvf3FSBl9MpcrA1a7N17EhBC45_auC6zr994v1_JJACQGhSAuMFh8hTFs7huuUXBtElvQ4OLBQ,"<a href=""https://maps.google.com/maps/contrib/111557216180768923444"">American University of Sharjah</a>"
AE,British University in Dubai,http://www.buid.ac.ae/,ChIJaxmlMYxjXz4RQkV8T704O6k,25.12514,55.41009,Block 11  1st and 2nd Floor  Dubai International Academic City - Academic City - Dubai - United Arab Emirates,CmRaAAAAxx6qfvRJ9fAGchU3uADnKzdVFLbb5c9yZoFsXwB85klFxkk_0C-vKjhVCqNaLjV8_YZ3HOely6NMwi0RvQPZR1_h4zPfkUZSH_ngKQm9LOuHLaq7Wm-d1b0qhZaYDIY5EhCy94J-aT_4PrtvISZINd-SGhQV9wRob8VdqKyhA9ueNmByE-L4ZA,"<a href=""https://maps.google.com/maps/contrib/118214164916716663666"">The British University in Dubai - BUiD</a>"
AE,Dubai Medical College for Girls,http://www.dmcg.edu/,ChIJTej-chFeXz4R6afZ2hF4hfQ,25.2502653,55.4175876,35th St - MuhaisnahMuhaisnah 1 - Dubai - United Arab Emirates,CmRaAAAA8PAqS27nD9F-Ah1L-dsN2BghgeANLwO44FjzzJ7Z8tSwcGXiriF6zVz_ebJYI7jPmif46ejtbMz0Jt_VCw-gsCZTldig7X2uPNg02G8H6dVBXOZjuOcRSOr9Lze-NBC9EhCwa5d5meV7d4QlR3spCxNJGhSu5-JD1mCP7CSBBNX8atdWvrv0ag,"<a href=""https://maps.google.com/maps/contrib/108743878279289204936"">Sadham Hussain Jamal</a>"
AE,Dubai Pharmacy College,http://www.dpc.edu/,ChIJR8Fx1BNeXz4RKFe1ttnbvmw,25.2503637,55.4170532,Muhaisnah 1 - MuhaisnahMuhaisnah 1 - Dubai - United Arab Emirates,NA,NA
AE,Etisalat University College,http://www.ece.ac.ae/,ChIJ______-b9T4RrxsO-jpqu3I,25.0753974,55.7578403,Sharjah - United Arab Emirates,NA,NA
AE,Gulf Medical University,http://www.gmu.ac.ae/,ChIJYc7eifn39T4RRonpOmenIxo,25.4174296,55.500791,AL JURF - 1 Rashid Al-Khadar St - Al Jerf 1 - Ajman - United Arab Emirates,CmRaAAAAXqJkGwUrCBo6cLD-0u0V5puI4Y9KRUWqNR00iB0HgNDv2sJHGe6elBtH0N4lw5s1nTAardDsukfXAAclqXi22aNZX9ADeWzta2ihc9ps2J-eKRCPBNkIGE6X-PMATgUGEhAGVfZjy4dc95f6lPBBw97XGhRdWPBCu5S9utG1RgQX5iUZyq29SA,"<a href=""https://maps.google.com/maps/contrib/117900771564763096221"">Gulf Medical University</a>"
AE,Hamdan Bin Mohammed e-University,http://www.hbmeu.ac.ae/,ChIJ3Yj9TX1kXz4RLD09biKUAF8,25.1048702,55.3924318,Dubai - Academic City - Dubai - United Arab Emirates,CmRaAAAAQDHTGeFcQRf2BDiCD_eYfzOenegzvVN_CtE2cNASU4uWWyjSalfb8W9Jy7hScQvGpL3D13O_H9eiIZ5DEYITztFo62W8dCwHm65R8IBpymyqzNxTOjs5fW7gt-OAT12jEhDN6me3cJv70PDUl0-V1ZaZGhRKdCEVxx9ToBeCqQBwI6N458RYzA,"<a href=""https://maps.google.com/maps/contrib/100139554793210367022"">Hamdan Bin Mohammed Smart University (HBMSU)</a>"
AE,Higher Colleges of Technology,http://www.hct.ac.ae/,ChIJ680p8OL-kT4RIlEOsKQ0uV4,23.580301,58.432846,133 Al Khuwayral Al Janubyyah St  Muscat  Oman,CmRaAAAA7ljbPwkeEnYDni-_CRKeAvtiHZubK4RgMbtMX15eb3SGLEVtxbGxdY8UgKl5JZB5v3J3xk2Nx4A6Y6XUnvFwAjRMqIFjEu3hk-iKMile1HY8lmyIRu8zU8FhRMx0t564EhB3_clT0PQpV0p2IpuP1NLAGhRzJBkuhip_FDfSvHtwx6sLEQu4yQ,"<a href=""https://maps.google.com/maps/contrib/114835276715030915381"">Higher College of Technology</a>"
AE,Ittihad University,http://www.ittihad.ac.ae/,ChIJf5qaDWV19j4RXDlPG9c8KuY,25.697534,55.878052,E311 - Ras al Khaimah - United Arab Emirates,CmRaAAAAHBrY0RASIjn0fx2JhgeGiBYXzG-K2rVckt32TQiC0qK5Qq03eTmbXjIpNEURQpPzqBzB70z-r9ggp2Zx0vuwElI618-UGns2VYn5P5Ja3eCFrBViIiUwArsOQC-0lAsfEhDBkS2oEBYgGz5IXQ9H_3KYGhRMpXAEai09byu8ouITwN_cN7IOzQ,"<a href=""https://maps.google.com/maps/contrib/103219945577406288183"">Abood TAHA</a>"
AE,Jumeira University,http://www.ju.ac.ae/,ChIJXZDxPAlpXz4RxzmjzJVDIAw,25.1464611,55.2552716,Latifa Bint Hamdan St - Al QuozAl Quoz 4 - Dubai - United Arab Emirates,CmRaAAAAwl7UxNAh13Osd37XnpbWqZKWPN6Fdxdlc9qL7WhzoE1oPdo2_4RakGGCq6myNUPYM_UdtCOZHB9AYlE_DTfgEWIgQ9AnaUJ-BrpTSK4XR6BirTtRxL1IjcHiy-V9ssWuEhBth7BZR5pRYYX6E2V-RAkuGhS3UMq8EwUTU0PmhpMWtjIJqE9RXw,"<a href=""https://maps.google.com/maps/contrib/109715978519382231029"">shabin shaju</a>"
AE,Khalifa University,http://www.kustar.ac.ae/,ChIJIxvDIGFoXj4RLhT6ny7fJV0,24.4473556,54.3949088,Zone 1 - Abu Dhabi - United Arab Emirates,CmRaAAAAwtH7rT8QeFsUNGhMHzIRIPutFuCrrY6bzTJNd_6wpgu-zOwbFQlII9EmsHDJnmY4JjZjljk2t-vagpVGAPhiRwyoxSR8ceDZLODZUVtyV6z5IlNfCZeJ7m1CnPs5YVnREhAdrOUGVKyevgG74iwECmknGhQQfg2Jc0uq7Dc2XakK2ybAMb50LA,"<a href=""https://maps.google.com/maps/contrib/114400224143895215439"">Farrukh Naeem</a>"
AE,"Khalifa University of Science, Technology and Research",http://www.ku.ac.ae/,ChIJIxvDIGFoXj4RLhT6ny7fJV0,24.4473556,54.3949088,Zone 1 - Abu Dhabi - United Arab Emirates,CmRaAAAAUG_0aV0Yqgn5UyJv6657GdenAHZaSCaQ0xT4wg0bM9VQjlwAjsVttUrDXjF-QvYacGtI3cYPV1t7Seyhf4Y0HKUvtgeBx4K088bEz2f8ArH-h7VnZCbiNmaYJ47AytvtEhA_LB0mhzuLPcqTSF-TA0qfGhToyh0YX_8E2nJVcgOQ6AViEuoN0w,"<a href=""https://maps.google.com/maps/contrib/114400224143895215439"">Farrukh Naeem</a>"
AE,Masdar University Of Science And Technology,http://www.masdar.ac.ae/,ChIJBRjida9IXj4RhryJ89ZBlGQ,24.4330231,54.619113,Near Home WTC AUH  Airport Road - Masdar City - Khalifa City - Abu Dhabi - United Arab Emirates,CmRaAAAAhG50_fm_hrSFpSJZaintkH1w_WYjM-1dp3wfO9Kjp7bHMIbciW5zzC4grPSF40QP0iAz0O8VlV4whWzuRdCF0lK8L8PxnjcaQw39XOAzRL78bQuUcqZN2zi_cmc7QRM0EhDS8n348PZw2xcUFh1NA2IXGhQYspW94ued-o1JOxeYw3Oo-i18Pg,"<a href=""https://maps.google.com/maps/contrib/112449155409015054944"">Jorge Mario R.</a>"
AE,"New York University, Abu Dhabi",http://nyuad.nyu.edu/,ChIJ68MyYoddXj4R4SvuxX5y6BQ,24.5238948,54.4345558,Saadiyat Marina District - Al Sa'DiyatSaadiyat Marina District - Abu Dhabi - United Arab Emirates,CmRaAAAA454vjU7Ih6mZse42BHvyEsWR2dSyMVUskHiVajYZ7BFg9zxi0ngqw9T_vt1vgUID1-H6Lv2ZgyI6xPbgqScqU1FSQgblB6C_DTUfW4ajyLbTw5qV2IURu-GJ_WwVgRRvEhBhnYEaWNMTlc9crDfQQHvuGhSJz3N4ZMrY-UaYlNDFhWbKEyjPUA,"<a href=""https://maps.google.com/maps/contrib/109026750389806432994"">Joslyn Ramey</a>"
AE,Paris-Sorbonne University Abu Dhabi,http://www.sorbonne.ae/,ChIJDZhvuJRnXj4RAHwOy7rtrps,24.488783,54.412114,Tamouh - Abu Dhabi - United Arab Emirates,CmRaAAAApxhuI1eJ7kAkmjfyj8Fdyx-2VkQNak_uvw7el9M-N-grct2LewSdx3t_dDIuiA1lR2MKEli5folmgK9nZkKh-v0K8TnPnAJtuiBm4wFr2NZTvj2OXhm5Cn5zN7im2vJ9EhAOKycNAs2_-fwlaGgvJG-PGhTqrGeXDmfae-fQ0i5lljwMqWKO1g,"<a href=""https://maps.google.com/maps/contrib/114543853719202889248"">Abdulazeez Ahmed</a>"
AE,Rak Medical & Health Sciences University,http://www.rakmhsu.com/,ChIJRxa3-gZXz0cRPz0RrK-Tk9w,52.6539096,4.7487891,Schoenmakerstraat 128  1825 CJ Alkmaar  Netherlands,CmRaAAAAd0Ehj9MbJ5R9Of7bQd2Pp-miS5XbIJvhQbVgLEKpMfjS7GwImrM4zhJu73wpbwGQrnDq0F3ZVQ9j8qDCt1o0x2Bb9uZCCS9lofMHRgL6XJfkyJV0mzprQwBlySG6Ohz2EhBEVZNUcnPdYeik338A6eg0GhQtNNHQkKOyXAD6IGCZBPyDJl_-ng,"<a href=""https://maps.google.com/maps/contrib/102066966056474223353"">Rugkliniek Alkmaar</a>"
AE,"Rochester Institute of Technology, Dubai",http://dubai.rit.edu/,ChIJS2Pvpj9kXz4Rw8dkzYAxpZw,25.1222743,55.3780056,Techno Point Building  1st Floor  Dubai Silicon Oasis - Dubai Silicon OasisIndustrial Area - Dubai - United Arab Emirates,CmRaAAAAX41s6E7g_fvumyFBmyIv4Ri8AdfZEnws8s9tkthAbfriVrhqiDYVkYqcFKxtDblTRWqyEx4ChmdC3cXldt6vp4dXCv2NqEShFud39Tuj9RsmzUaN5AWP7aIRFDUeKkleEhBtcZAyeCjQI7pjnMTMP8DDGhSSgYHer4BRsLZUtGYqnOhdETISpA,"<a href=""https://maps.google.com/maps/contrib/103175112445688550585"">Yash Garg</a>"
